DATE COLLECTED,ECOSYSTEM,CHAMBER #,GC RUN DATE,FILENAME,NOTES
7/12/2022,N/A,STD,3/13/2023,T3_07122022_001,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_002,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_003,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_004,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_005,
7/12/2022,WW,1,3/13/2023,T3_07122022_006,
7/12/2022,WW,2,3/13/2023,T3_07122022_007,
7/12/2022,WW,3,3/13/2023,T3_07122022_008,
7/12/2022,WW,4,3/13/2023,T3_07122022_009,
7/12/2022,WW,5,3/13/2023,T3_07122022_010,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_011,
7/12/2022,WW,6,3/13/2023,T3_07122022_012,
7/12/2022,WW,7,3/13/2023,T3_07122022_013,
7/12/2022,WW,8,3/13/2023,T3_07122022_014,
7/12/2022,WW,9,3/13/2023,T3_07122022_015,
7/12/2022,WW,10,3/13/2023,T3_07122022_016,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_017,
7/12/2022,WW,11,3/13/2023,T3_07122022_018,
7/12/2022,WW,12,3/13/2023,T3_07122022_019,
7/12/2022,BP,1,3/13/2023,T3_07122022_020,
7/12/2022,BP,2,3/13/2023,T3_07122022_021,
7/12/2022,BP,3,3/13/2023,T3_07122022_022,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_023,
7/12/2022,BP,4,3/13/2023,T3_07122022_024,
7/12/2022,BP,5,3/13/2023,T3_07122022_025,
7/12/2022,BP,6,3/13/2023,T3_07122022_026,
7/12/2022,BP,7,3/13/2023,T3_07122022_027,
7/12/2022,BP,8,3/13/2023,T3_07122022_028,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_029,
7/12/2022,BP,9,3/13/2023,T3_07122022_030,
7/12/2022,BP,10,3/13/2023,T3_07122022_031,
7/12/2022,BP,11,3/13/2023,T3_07122022_032,
7/12/2022,BP,12,3/13/2023,T3_07122022_033,
7/12/2022,EW,1,3/13/2023,T3_07122022_034,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_035,
7/12/2022,EW,2,3/13/2023,T3_07122022_036,
7/12/2022,EW,3,3/13/2023,T3_07122022_037,
7/12/2022,EW,4,3/13/2023,T3_07122022_038,
7/12/2022,EW,5,3/13/2023,T3_07122022_039,
7/12/2022,EW,6,3/13/2023,T3_07122022_040,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_041,
7/12/2022,EW,7,3/13/2023,T3_07122022_042,
7/12/2022,EW,8,3/13/2023,T3_07122022_043,
7/12/2022,EW,9,3/13/2023,T3_07122022_044,
7/12/2022,EW,10,3/13/2023,T3_07122022_045,
7/12/2022,EW,11,3/13/2023,T3_07122022_046,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_047,
7/12/2022,EW,12,3/13/2023,T3_07122022_048,
7/12/2022,SP,1,3/13/2023,T3_07122022_049,
7/12/2022,SP,2,3/13/2023,T3_07122022_050,
7/12/2022,SP,3,3/13/2023,T3_07122022_051,
7/12/2022,SP,4,3/13/2023,T3_07122022_052,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_053,
7/12/2022,SP,5,3/13/2023,T3_07122022_054,
7/12/2022,SP,6,3/13/2023,T3_07122022_055,
7/12/2022,SP,7,3/13/2023,T3_07122022_056,
7/12/2022,SP,8,3/13/2023,T3_07122022_057,Sample was missing
7/12/2022,SP,9,3/13/2023,T3_07122022_058,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_059,
7/12/2022,SP,10,3/13/2023,T3_07122022_060,
7/12/2022,SP,11,3/13/2023,T3_07122022_061,
7/12/2022,SP,12,3/13/2023,T3_07122022_062,
7/12/2022,SW,1,3/13/2023,T3_07122022_063,
7/12/2022,SW,2,3/13/2023,T3_07122022_064,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_065,
7/12/2022,SW,3,3/13/2023,T3_07122022_066,
7/12/2022,SW,4,3/13/2023,T3_07122022_067,
7/12/2022,SW,5,3/13/2023,T3_07122022_068,
7/12/2022,SW,6,3/13/2023,T3_07122022_069,
7/12/2022,SW,7,3/13/2023,T3_07122022_070,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_071,
7/12/2022,SW,8,3/13/2023,T3_07122022_072,
7/12/2022,SW,9,3/13/2023,T3_07122022_073,
7/12/2022,SW,10,3/13/2023,T3_07122022_074,
7/12/2022,SW,11,3/13/2023,T3_07122022_075,
7/12/2022,SW,12,3/13/2023,T3_07122022_076,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_077,
7/12/2022,NW,1,3/13/2023,T3_07122022_078,
7/12/2022,NW,2,3/13/2023,T3_07122022_079,
7/12/2022,NW,3,3/13/2023,T3_07122022_080,
7/12/2022,NW,4,3/13/2023,T3_07122022_081,
7/12/2022,NW,5,3/13/2023,T3_07122022_082,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_083,
7/12/2022,NW,6,3/13/2023,T3_07122022_084,
7/12/2022,NW,7,3/13/2023,T3_07122022_085,
7/12/2022,NW,8,3/13/2023,T3_07122022_086,
7/12/2022,NW,9,3/13/2023,T3_07122022_087,
7/12/2022,NW,10,3/13/2023,T3_07122022_088,
7/12/2022,N/A,STD,3/13/2023,T3_07122022_089,
7/12/2022,NW,11,3/13/2023,T3_07122022_090,
7/12/2022,NW,12,3/13/2023,T3_07122022_091,
